User review,Review date,Star review,Text length,Has media,Has answer
\nчерный\nДостоинства: \nНедостатки: \nКомментарий: ,2025-02-19,2,45,1,1
\nчерный\nДостоинства: \nНедостатки: ,2025-02-18,4,32,0,1
"\nДостоинства: Форма сиденья, прочный.\nНедостатки: ——\nКомментарий: Очень понравился стул. Довольно таки прочный, несмотря на небольшую для такого стула цену. Очень легко передвигается по ламинату. Рекомендую. 👍",2025-02-15,5,206,1,1
"\nВмятина (на фото видно). Скотч на ножках, хотелось бы более аккуратного обращения, чтоб покупателям не пришлось ещё и этим заниматься. Ножки пластиковые, как все и пишут, но катаются достаточно мягко. Колёски все не вставляются до конца, но сидеть это не мешает. Сидеть реально очень удобно.",2025-02-14,4,292,1,1
\nДостоинства: Мягкие удобные\nКомментарий: 👍,2025-02-13,5,41,0,1
"\nДостоинства: Быстрая и легкая сборка, понятная инструкция.\nНедостатки: Колеса как и у всех пластик, в карточке указан нейлон.\nКомментарий: Доставили быстро, впечатления пока положительные.",2025-02-11,4,186,1,1
\nчерный\nДостоинства: ,2025-02-11,5,20,0,1
\nДля мастера перманента очень удобно,2025-02-10,5,36,0,1
\nчерный\nДостоинства: ,2025-02-08,5,20,1,1
\nДостоинства: Все,2025-02-05,5,16,0,1
"\nДостоинства: Мягкий, качественный стул\nНедостатки: Мне как мастеру маникюра и педикюра было не удобно, может с непривычки\nКомментарий: Рекомендую, кто именно хочет стул седло, я лично сама не знала, что хочу))",2025-02-05,5,207,0,1
\nчерный,2025-02-03,5,7,0,1
"\nНикак не смогла к нему приспособиться,2 мес пыталась,и по немножку сидела,не ,бесполезно!От этого седла,у меня так"" седло"" болит,что уже меня на него сесть никто не заставит.",2025-02-03,3,175,0,1
\nчерный,2025-02-02,1,7,0,1
\nчерный\nДостоинства: ,2025-02-02,5,20,0,1
\nчерный\nДостоинства: \nНедостатки: ,2025-01-31,5,32,1,1
черный\nНедостатки: \nКомментарий: ,2025-01-31,5,31,0,1
"\nДостоинства: Всё понравилось. Собрали быстро. Крепкий. Седло довольно таки широкое и удобное. Хотя всё равно к нему надо привыкнуть. Но именно из-за седла центр тяжести на стуле именно посередине, что увеличивает надёжность. Металлические ноги мощные. Подъёмный механизм тоже оегко справляется с моим весом.\nНедостатки: Немного заблудился в пути и пришёл  на 2 дня позже заявленного срока. Но всё равно это быстро.\nКомментарий: Очень довольна покупкой. Работать на нём удобно. Спасибо.",2025-01-30,5,483,1,1
\nчерный\nДостоинства: \nНедостатки: ,2025-01-29,5,32,1,1
"\nНедостатки: Здравствуйте!Колеса пластмассовые,вместо нейлоновых.Крестовина вся в царапинах!",2025-01-29,1,91,1,1
"\nДостоинства: Запредельно удобно. Я портниха, по 6 часов за машинкой. Моя пятая точка очень признательна за такую мебель!!!!\nКомментарий: Сожалею, что не нашла такое лет десять назад.\nТабурет за 3500 ничем не отличается от табурет за 12к\nКачество отменное, месяц тестировки при весе 100кг\nРекомендую,однозначно",2025-01-28,5,308,0,1
\nДостоинства: Чёткий стул,2025-01-28,5,24,0,1
\nчерный\nНедостатки: \nКомментарий: ,2025-01-27,4,32,0,1
\nчерный\nДостоинства: ,2025-01-26,5,20,0,1
"\nНедостатки: Качество плохое.\nКомментарий: Качество жуть, сразу на ПВЗ оценить невозможно, так как товар в разобранном виде. В процессе сборки видно, что все ненадежно! Ещё и рассматривали заявку на возврат 10 дней ровно! Соответственно деньги вернули почти через 2 недели!",2025-01-26,1,271,0,1
"\nВсе же рада что выбрала этот стул, работать легко и главное для здоровья моего он удобен, советую при варикозе 👍",2025-01-25,5,113,0,1
"\nДостоинства: Удобно\nНедостатки: Все хорошо\nКомментарий: Супруге понравилось, я бы на таком не сидела",2025-01-24,5,98,0,1
\nчерный,2025-01-24,2,7,0,1
\nДостоинства: Качество ужасное!,2025-01-22,1,30,1,1
"\nДостоинства: Отличный стул, очень удобно, брала для работы за вязальной машиной",2025-01-20,5,79,0,1
\nДостоинства: Всё 👍👏😆,2025-01-20,5,20,0,1
"\nДостоинства: Стул огонь! В первый день работы приняла шесть клиенток. На кажду два часа и между ними переррыв 20-30 минут, спина не уставала. Сборка легкая, понятная и быстрая. Еще бонусом, стул достаточно высоко поднимается. Все целое, спасибо!",2025-01-18,5,245,1,1
\nДостоинства: Отличный стул.  Выдерживает больше 150кг,2025-01-17,5,53,0,1
черный,2025-01-16,5,6,1,1
"\nДостоинства: Стул хороший, как долго прослужит посмотрим\nНедостатки: Немного пошатывается спинка но не критично",2025-01-14,5,110,1,1
"\nДостоинства: Их нет!\nНедостатки: Стул- дешман,обивка дешевый кожзам ,не удобный,сидушка между ног давит так ,что буд-то ты на заборе повисла.Спинка еле висит,никакой опоры.На второй день стала выпирать подкладка спереди.Вообщем для работы(мастера маникюра)не подходит вообще..И качество очень хлипкое.Либо попа должна быть с кулачок!Возврат.",2025-01-14,1,340,1,1
"\nНедостатки: Дефектов не нашла, качество на троечку материал на сидушки уж очень непрочный мягкий, но проблема не в этом, форма сидения такова что извините не на каждую попу, после обслуживания двух клиентов я его буквальном смысле выкинула из-под себя, не советую попробуйте где-нибудь посидеть на подобном стуле, но я так думаю что здесь форма самого седла неправильная спина совсем не отдыхает, ощущение будто сидишь на трубе обмотаны тряпками и пытаешься удержаться. Прежде чем покупать этот стул подумайте. Я вот пожалела деньги уже",2025-01-13,3,536,1,1
"\nДостоинства: Пришло всё укомплектованное, проверила на месте выдачи, колесики туго вставлялись помогла вд-шка. Катается на отлично, сидеть удобно, спине легче 👍🏻💞",2025-01-11,5,162,0,1
"\nДостоинства: Небольшой, удобный\nНедостатки: Нет\nКомментарий: Удобный стул мне очень понравился, сидеть просто можно часами. Для небольшого кабинета подошел идеально. ￼",2025-01-10,5,165,1,1
"\nСтул забрала, не смотря на пару недостатков, по сидела за компьютером 30 минут и не ощутила боли в спине, брала для работы за вязальной машиной. Мне понравилось.",2025-01-10,4,162,1,1
\nДостоинства: Удобный,2025-01-10,5,20,0,1
\nДостоинства: Моя спина и шея сказала спасибо\nНедостатки: Нет,2025-01-07,5,59,0,1
"\nДостоинства: Спустя месяц не ежедневного сидения, а раз в неделю им пользуемся. Пробрался материал.",2025-01-06,1,99,1,1
"\nВсё работает, собрал быстро.",2025-01-03,5,29,1,1
"\nДостоинства: Отличный стул! Удобный, красивый, легко собираемый, стильный, крепкий\nНедостатки: Нет\nКомментарий: Это мое лучшее приобретение в новом году! Стул просто бомбовый! И цена просто сказочная. Спасибо продавцу за качественный товар!",2025-01-03,5,238,1,1
"Достоинства: Сбылась мечта, прямо как для меня сделан",2025-01-02,5,52,0,1
"\nВысоты газлифта достаточно. Но сам газлифт слабый, вес 120 кг не держит, сдувается",2025-01-02,5,83,0,1
"\nНе понравился стул, не такой хотела.",2024-12-31,3,37,1,1
"\nНедостатки: Не так давно покупала стулья за такие же деньги и они качественнее, мне лень идти разбирать и сдавать назад, но за такие деньги я лучше покупала",2024-12-30,4,156,0,1
"\nДостоинства: Удобный)\nКомментарий: Неожидала, что такой мягкий) понравился) очень помогает избавиться от привычки сидеть нога на ногу)",2024-12-29,5,133,1,1
"\nОтказ, Лопнут пластик, жёсткая сидушка",2024-12-28,1,39,0,1
"\nПришло всё хорошо упаковано. Собрали быстро, но потребовалась мужская сила. Всё работает. На сколько удобно не знаю. После первого раза не поняла. Но сказать, что не удобно не могу. Мой большой вес выдерживает.",2024-12-27,5,211,0,1
"\nДостоинства: Быстро и удобно собирать, интуитивно понятно. В комплекте была инструкция, лёгкий в использовании, собрал за 10 минут\nНедостатки: Не нашёл\nКомментарий: Очень прост в использовании, ничего лишнего, всё работает! В отзывах видел видео, где у покупателя не работал воздушный поршень, так вот снимите колпачок!!! Продавец всё тщательно упаковал, очень впечатлён хоть и дарил девушке на пробу на Новый год, всё очень классно) \nСпасибо продавцу с наступающим!)\nЕщё",2024-12-25,5,469,1,1
"\nДостоинства: норм,но спинка шатается а еще колесики плохо крутятся",2024-12-24,2,66,0,1
\nДостоинства: Стул шикарный. Собрала за 20 минут. Все комплектующие на месте. Я в восторге от стула. Рекомендую ✔️,2024-12-23,5,113,1,1
"\nСначала кажется не удобным, но после нескольких дней привыкаешь и очень даже комфотно, пришло все целое",2024-12-22,5,104,1,1
\nНе подошел,2024-12-21,1,11,0,1
\nДостоинства: Стул огонь\nНедостатки: Нет\nКомментарий: Любимой понравилось,2024-12-21,5,70,0,1
\nДостоинства: Стул просто бомба👌\nНедостатки: Нет,2024-12-20,5,46,0,1
Достоинства: Теперь самый любимый мой рабочий стул !\nКомментарий: Очень разгружает ноги и спина чувствует себя отлично 🙌Рекомендую !,2024-12-20,5,130,0,1
\nДостоинства: Спина шея в норме\nНедостатки: Очень болит пятая точка,2024-12-19,4,65,0,1
"\nДостоинства: Хорошее качество\nНедостатки: Слишком широкое кресло,между ногами неудобно",2024-12-19,1,85,0,1
"\nНедостатки: Стул пришел без газлифта и колесиков, пришлось докупать самой, т.к. не проверила на пункте выдачи и забрала. Проверяйте комплектацию обязательно!",2024-12-18,2,157,0,1
"\nДостоинства: Качество\nНедостатки: Хуже стула нет! Он анатомически сделан НЕПРАВИЛЬНО!!! Получается сидишь на копчике. Повелась на низкую цену , а он неправильно исполнен. Именно форма «седла».",2024-12-17,1,191,0,1
"\nДостоинства: Хорошее и цена и кресло\nНедостатки: Чуть разобралась с пластмассовой пробкой )) Что надо вытянуть ее . Сунула так пока эту пробку не сломала . А все от того , что в инструкцию не смотрела )) сразу 😁",2024-12-17,5,210,0,1
"\nДостоинства: Очень низкий ,а так норм",2024-12-15,4,37,0,1
"\nДостоинства: Соответствует описанию.\nУдобный. Рекомендую.\nНедостатки: Ножки пластиковые, ламинат будет царапать, но можно всегда заменить.",2024-12-09,5,137,1,1
черный\nДостоинства: \nНедостатки: \nКомментарий: ,2024-12-08,5,44,1,1
"Достоинства: Отличный стул, всё упаковано, все запчасти на месте. Лёгкий в сборке. Сама собрала за 10 мин. Надеюсь на долгую службу.",2024-12-08,5,131,0,1
"\nДостоинства: Может быть кому-то и удобно. Но у меня ноги затекают.\nНедостатки: Не удобно на нём сидеть, а уж тем-более работать.. Я не знаю кто пишет что удобно.\nКомментарий: 🤷‍♀️🤷‍♀️",2024-12-06,3,181,0,1
черный\nДостоинства: ,2024-12-03,5,19,0,1
черный\nДостоинства: \nНедостатки: ,2024-12-01,5,31,0,1
"\nДостоинства: Сама сидушка удобная, мягкая и без шва посредине.\nНедостатки: Крестовина из ломкого порошкового металла. Колесики не нейлоновые, а обычный дешевый пластик.\nКомментарий: Возврат.",2024-11-28,3,188,0,1
"\nДостоинства: Сидушка без швов\nНедостатки: Колеса самые дешевые пластиковые, а не нейлон. Крестовина из прессованного порошкового металла.Сварные швы отвратительные. Колесики вставить даже не смогла.\nКомментарий: Заказывала два стула ( со спинкой и без). Недостатки в обоих случаях одинаковые ( крестовина и колеса) Газлифт не проверяла. \nВозврат.",2024-11-28,3,344,0,1
черный\nДостоинства: \nНедостатки: \nКомментарий: ,2024-11-27,5,44,0,1
"\nСтул очень понравился. Целый день проработала. Спина не болит. Очень удобно, а главное при работе не съезжаю))) 👍",2024-11-25,5,114,1,1
"\nНедостатки: Очень маленькое сиденье! Ноги навесу, неудобно. Возврат! Прошу не учитывать процент выкупа.",2024-11-25,2,103,0,1
"\nДостоинства: Кресло в целом хорошее, удобное. Но\nНедостатки: Пришло с браком , один шуруп без резьбы , и спинка держится изза этого на одном\nКомментарий: Жаль , что пришло с браком , если б не это покупкой была бы довольна. Буду думать как сделать спинку чтоб держалась",2024-11-24,2,267,0,1
черный\nДостоинства: \nНедостатки: ,2024-11-23,5,31,0,1
черный\nДостоинства: \nНедостатки: ,2024-11-22,5,31,0,1
Недостатки: хлипковат,2024-11-21,4,20,0,1
"\nДостоинства: Очень удобен для спины!\nКомментарий: Отличный стул мастера,но к сожалению для парикмахера низкий, но ничего- с удовольствием делаю ноготочки,спина не устает, очень комфортно.Рекомендую мастерам маникюра,педикюра ,визажистам и косметологам!",2024-11-19,5,251,1,1
\nДостоинства: Быстрая сборка. Удобный 👍,2024-11-19,5,38,0,1
"\nДостоинства: Очень довольна, ход лёгкий и в работе удобно!",2024-11-17,5,58,1,1
\nНедостатки: Отсутствовали колесики,2024-11-17,3,34,0,1
\nчерный\nПервоначальный отзыв,2024-11-16,1,28,0,0
"\nСпасибо, все супер!",2024-11-16,5,20,0,1
черный\nДостоинства: \nНедостатки: ,2024-11-15,5,31,0,1
черный\nДостоинства: ,2024-11-14,5,19,1,1
\nНедостатки: Коробка была очень сильно порвана...,2024-11-14,5,48,0,1
\nДостоинства: Стул пришёл раньше заявленного срока- это плюс! Комплектация полная. Качество материала нормальное.  Стул за свою цену очень классный. Само сиденье достаточно большое))))),2024-11-13,5,184,0,1
"\nДостоинства: Лёгкий ход колесиков. Низко опускается. То, что искала.",2024-11-12,5,68,1,1
"Достоинства: Интересный стул\nНедостатки: Не обнаружила\nКомментарий: Да спину держишь прямо, но из необычности седла очень не привычно.",2024-11-11,5,131,1,1
\nДостоинства: Удобная седлушка. Легко собирается.\nНедостатки: Не держится болт крепления,2024-11-11,5,86,0,1
черный\nНедостатки: ,2024-11-10,2,18,0,1
\nДостоинства: Собрали сами. Привыкнуть надо к седлу. Качество нас порадовало.,2024-11-08,5,76,0,1
черный\nДостоинства: ,2024-11-07,5,19,0,1
черный\nДостоинства: ,2024-11-06,5,19,0,1
Достоинства: Нет\nНедостатки: В комплекте нехвает запчастей для сборки.\nХорошо на пвз проверила.,2024-11-05,1,93,0,1
черный,2024-11-04,5,6,1,1
черный\nДостоинства: ,2024-11-04,5,19,1,1
черный\nДостоинства: \nНедостатки: \nКомментарий: ,2024-11-04,5,44,0,1
"\nДостоинства: Хороший стул, удобный,собрал муж за три минуты.\nСамое главное,что выдерживает большой вес это было важно для меня.\nВысота регулируется,ездит хорошо 👍\nНедостатки: Нет\nКомментарий: Хороший стул для мастера",2024-11-03,5,214,0,1
"\nДостоинства: Супер, удобный, то что нужно👍",2024-11-03,5,42,0,1
"\nДостоинства: Замечательный товар 👍 рекомендую, минус конечно что подъёмный механизм смазан маслом техническим, но эо мелочи. Собрала за 15-20мин, мужчины скорее за 10 мин соберут. Несла сама не очень тяжелый написано 3,64 кг, но мне показалась легче коробка. P.s.прочерки, полосы для меня не являются  проблемой.Мои 140 кг держит хорошо (2 дня использую)",2024-11-03,5,354,0,1
черный\nДостоинства: ,2024-11-02,5,19,0,1
черный\nНедостатки: ,2024-11-01,1,18,0,1
черный\nДостоинства: \nКомментарий: ,2024-11-01,5,32,1,1
черный\nДостоинства: ,2024-10-31,5,19,0,1
черный\nДостоинства: \nНедостатки: \nКомментарий: ,2024-10-30,5,44,1,1
черный\nДостоинства: ,2024-10-30,5,19,1,1
черный\nДостоинства: \nНедостатки: \nКомментарий: ,2024-10-29,2,44,0,1
черный\nДостоинства: ,2024-10-29,5,19,1,1
"\nДостоинства: Нет\nНедостатки: Все болит, сидеть невозможно, ещё и собрать не получилось до конца весь сыпется, болты вываливаются . Продавец игнорирует законные 14 дней на возврат, по браку заявку не смотрит специально, а как по другому вернуть я не знаю. Тянет время чтобы не возвращать деньги за ужасного качества товар. Если есть совесть одобряйте заявку сегодня же жду с 21го октября, зла не хватает. Товар не рекомендую категорически.",2024-10-28,1,437,0,1
"\nДостоинства: Стул пришел в полном комплекте,собрала за 10 минут. Качество на высоте\nНедостатки: Попа болит неимоверно,у вас,сидя на этом стуле за сеанс маникюра за минимум час-час двадцать,отсохнут яйца,даже если у вас их нет. Не знаю как другим,но мне безумно неудобно,зря потратила средства,вернуть я так понимаю не предоставляется возможным. Работаю на нем 2 недели,встаю враскоряк",2024-10-27,2,383,0,1
черный\nДостоинства: \nНедостатки: \nКомментарий: ,2024-10-24,5,44,1,1
черный\nДостоинства: ,2024-10-24,5,19,1,1
\nДостоинства: Низкая цена. Качество на высоте.\nНедостатки: Нет\nКомментарий: Очень прост в сборке. Был куплен благодоря положительным отзывам покупателей. Рекомендую.,2024-10-23,5,162,0,1
черный\nДостоинства: \nНедостатки: ,2024-10-23,4,31,0,1
черный\nДостоинства: \nНедостатки: ,2024-10-22,5,31,0,1
черный\nДостоинства: ,2024-10-22,5,19,1,1
"\nНедостатки: В описании к товару написано ,что высота регулируется от 71 до 82.На деле оказалось ,максимальная высота сиденьяменьше 62 см.",2024-10-21,1,137,1,1
"\nДостоинства: Нет\nНедостатки: Стул не понравился. Родные колеса гремят, портят пол, едут куда хотят, но не так как нужно мне.  Поменяла, думала, решу проблему. Но нет, также невозможно на нем перемещаться, как нужно.\nКомментарий: Отвратительно",2024-10-21,1,240,0,1
"\nНедостатки: Обидно, досадно. Стул хороший, но вот такие косяки портят все настроение",2024-10-21,4,84,1,1
черный,2024-10-21,5,6,1,1
"\nДостоинства: Стул очень понравился. Всё целое, упаковано хорошо. Сидеть очень комфортно. Спасибо большое продавцу.",2024-10-20,5,114,0,1
черный\nДостоинства: ,2024-10-20,5,19,0,1
черный\nДостоинства: ,2024-10-19,5,19,1,1
"\nДостоинства: Очень удобные, плотные но не давят ни где, хорошо тянутся, за неделю не закатались",2024-10-19,5,95,1,1
черный\nДостоинства: \nНедостатки: ,2024-10-18,5,31,1,1
"\nДостоинства: Очень удобное и качественное, рекомендую",2024-10-18,5,53,0,1
черный,2024-10-18,5,6,1,1
Достоинства: Хороший стул\nНедостатки: Их нет\nКомментарий: Неожиданно за такие деньги.Спасибо,2024-10-18,5,89,1,1
"Достоинства: Глядя на прошлые отзывы боялась заказывать стул, но это самая выгодная цена на вб\nВсе пришло хорошо упаковано,целое ,без царапин и механизм отлично работает",2024-10-17,5,168,0,1
Достоинства: Все супер. Качество отличное.Рекомендую.,2024-10-17,5,52,0,1
черный\nДостоинства: ,2024-10-17,5,19,0,1
,2024-10-15,5,0,1,1
черный\nДостоинства: ,2024-10-12,5,19,1,1
Достоинства: Чудесное кресло за свою цену. Газлифт работает,2024-10-11,5,58,1,1
черный\nДостоинства: \nНедостатки: ,2024-10-10,3,31,1,1
черный\nДостоинства: ,2024-10-09,5,19,1,1
"Достоинства: Очень удобное, лёгкое в сборке",2024-10-09,5,42,1,1
черный,2024-10-07,5,6,0,1
"Достоинства: Прекрасный стульчик! Легко собирается. Сидеть удобно, маневренный. Газ - лифт отлично работает. Рекомендую. Семь месяцев - полет нормальный.\nНедостатки: Не нашла",2024-10-04,5,172,0,1
черный,2024-10-02,5,6,1,1
"Достоинства: Упакован отлично. Стул в эксплуатации супер, кто занимается вязанием на вязальных машинах, просто необходим, РЕКОМЕНДУЮ не пожалеете 👍",2024-09-30,5,146,0,1
черный,2024-09-24,5,6,0,1
черный\nДостоинства: ,2024-09-24,5,19,0,0
черный,2024-09-11,4,6,0,1
черный,2024-08-17,5,6,1,1
"Стул отличный, пользуюсь полгода.",2024-08-15,5,33,0,1
черный,2024-06-10,3,6,1,1
"Товар пришел с браком ,прошу вернуть денежные средства или заменить товар ,стул не поднимается",2024-03-25,1,94,0,1
Удобный стул для перманентного макияжа,2024-03-12,5,38,0,1
Пришёл с браком но быстро сделали возврат и деньги перевели,2024-03-11,1,59,0,1
"Ребята бу торгуют наверное.\nКресло в гель-лаке.\nКолеса в волосах, упаковки от колес все комом валялось в коробке. \nЖуткое состояние.",2024-03-10,1,132,1,1
"Стул классный, прочный, но не работает газлифт, продавцы - вам минус , нужно проверять! Но в ютубе посмотрел ролик как сделать вечным газ лифт, и сделал! Теперь мощьно, но стул на одном уровне по высоте",2024-03-08,4,202,0,1
"Стул пришел в мятой и рванрй коробке и не рабочий газ-лифт. После получения только почитала отзывы и поняла, что скорей всего эта коробка с стулом побывала не только у меня. У всех одна и та же проблема. Оформила заявку на возврат, висит «на рассмотрении». Как долго продавец будет рассматривать, непонятно. В общем, никогда не сталкивалась с таким безответственным продавцом. НЕ РЕКОМЕНДУЮ!!!",2024-03-04,1,393,1,1
